epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
139,1185.7,0.19889,0.06995,0.00297,0.00063,0.90433,0.84187,0.82717,0.70495,0.71467,0.56727,0.0045,0.00444,0.000226769,0.000226769,0.000226769
140,1277.63,0.19911,0.06984,0.00297,0.00061,0.90513,0.84181,0.82696,0.70559,0.71491,0.56186,0.00451,0.0044,0.000220372,0.000220372,0.000220372
141,1369.25,0.19769,0.06927,0.00298,0.00062,0.91287,0.83616,0.8247,0.70315,0.71349,0.56427,0.0045,0.0044,0.000214046,0.000214046,0.000214046
142,1460.79,0.19809,0.06942,0.00297,0.00061,0.92023,0.83249,0.82716,0.70504,0.71369,0.56348,0.0045,0.00439,0.000207792,0.000207792,0.000207792
143,1552.83,0.19782,0.06934,0.00296,0.00062,0.91407,0.83674,0.82627,0.70588,0.71444,0.56161,0.0045,0.00441,0.000201611,0.000201611,0.000201611
144,1643.74,0.19534,0.06843,0.00296,0.0006,0.91474,0.83413,0.82601,0.70436,0.7141,0.56995,0.0045,0.00439,0.000195505,0.000195505,0.000195505
145,1735.2,0.1933,0.06757,0.00296,0.00059,0.90817,0.83917,0.82444,0.70438,0.7141,0.56813,0.00451,0.0044,0.000189475,0.000189475,0.000189475
146,1826.32,0.19074,0.06671,0.00297,0.00059,0.91802,0.83432,0.82468,0.70319,0.71228,0.56967,0.0045,0.0044,0.000183523,0.000183523,0.000183523
147,1917.62,0.19027,0.06651,0.00296,0.00059,0.91516,0.83435,0.82441,0.70253,0.71275,0.56721,0.0045,0.00441,0.000177651,0.000177651,0.000177651
148,2009.43,0.19043,0.06631,0.00296,0.00056,0.91392,0.83746,0.82566,0.70272,0.71374,0.57119,0.0045,0.0044,0.000171859,0.000171859,0.000171859
149,2100.82,0.18942,0.06602,0.00295,0.00058,0.90945,0.83829,0.82495,0.70266,0.71259,0.57212,0.0045,0.00438,0.000166149,0.000166149,0.000166149
150,2191.75,0.18698,0.06519,0.00295,0.00057,0.91465,0.83318,0.8234,0.70203,0.71335,0.57231,0.0045,0.0044,0.000160523,0.000160523,0.000160523
151,2283.31,0.18667,0.06494,0.00296,0.00056,0.91326,0.83665,0.82419,0.70202,0.71271,0.57138,0.0045,0.00441,0.000154982,0.000154982,0.000154982
152,2374.68,0.18663,0.06493,0.00295,0.00057,0.91608,0.8338,0.8244,0.70236,0.71212,0.56925,0.0045,0.0044,0.000149527,0.000149527,0.000149527
153,2466.21,0.18497,0.06442,0.00293,0.00056,0.91773,0.83418,0.82289,0.70135,0.71327,0.57314,0.0045,0.00439,0.000144161,0.000144161,0.000144161
154,2557.17,0.18427,0.06413,0.00296,0.00056,0.91557,0.8352,0.82448,0.70315,0.71275,0.57387,0.0045,0.00441,0.000138883,0.000138883,0.000138883
155,2648.26,0.18433,0.06423,0.00294,0.00055,0.9114,0.83713,0.82341,0.70163,0.7121,0.57175,0.0045,0.0044,0.000133695,0.000133695,0.000133695
156,2739.23,0.18404,0.06389,0.00294,0.00056,0.91488,0.8358,0.82269,0.70186,0.71186,0.57317,0.0045,0.00439,0.000128599,0.000128599,0.000128599
157,2831.22,0.18273,0.0635,0.00294,0.00056,0.91506,0.83356,0.82098,0.70065,0.71182,0.57332,0.00449,0.00441,0.000123596,0.000123596,0.000123596
158,2922.78,0.18322,0.0637,0.00294,0.00055,0.91419,0.83231,0.822,0.70086,0.71067,0.56951,0.00449,0.00441,0.000118687,0.000118687,0.000118687
159,3014.03,0.1822,0.06308,0.00293,0.00056,0.91035,0.83735,0.82401,0.70147,0.71042,0.57041,0.00449,0.00442,0.000113873,0.000113873,0.000113873
160,3105.04,0.18174,0.06311,0.00294,0.00055,0.91061,0.83847,0.82397,0.70217,0.71105,0.57311,0.00449,0.00441,0.000109156,0.000109156,0.000109156
161,3195.71,0.18043,0.0625,0.00295,0.00055,0.90762,0.83875,0.82546,0.70279,0.71122,0.5755,0.00449,0.0044,0.000104537,0.000104537,0.000104537
162,3286.93,0.17989,0.06244,0.00293,0.00054,0.90855,0.83914,0.8238,0.70228,0.71028,0.5747,0.00449,0.0044,0.000100016,0.000100016,0.000100016
163,3377.29,0.17897,0.06209,0.00292,0.00054,0.91083,0.8379,0.82616,0.70472,0.70991,0.57275,0.00449,0.00439,9.55951e-05,9.55951e-05,9.55951e-05
164,3467.81,0.17835,0.06171,0.00292,0.00054,0.91749,0.83066,0.82532,0.70315,0.7106,0.57315,0.00449,0.00441,9.12754e-05,9.12754e-05,9.12754e-05
165,3558.32,0.17625,0.06119,0.00293,0.00054,0.91801,0.83125,0.82569,0.70372,0.71079,0.57236,0.00449,0.00441,8.70577e-05,8.70577e-05,8.70577e-05
166,3649.4,0.17691,0.0611,0.00293,0.00053,0.91214,0.83442,0.82354,0.70244,0.71023,0.57391,0.00449,0.0044,8.29431e-05,8.29431e-05,8.29431e-05
167,3740.16,0.17698,0.06101,0.00292,0.00054,0.91661,0.83237,0.82454,0.70251,0.71009,0.57409,0.00449,0.00441,7.89327e-05,7.89327e-05,7.89327e-05
168,3831.55,0.17615,0.06061,0.00293,0.00053,0.91922,0.83106,0.82385,0.70279,0.7099,0.57372,0.00449,0.00442,7.50274e-05,7.50274e-05,7.50274e-05
169,3922.28,0.17521,0.06072,0.00295,0.00053,0.91957,0.83141,0.82372,0.70228,0.70969,0.57384,0.00449,0.00441,7.12282e-05,7.12282e-05,7.12282e-05
170,4012.85,0.17482,0.06047,0.00295,0.00053,0.915,0.83497,0.82316,0.70149,0.70956,0.57172,0.00449,0.00441,6.7536e-05,6.7536e-05,6.7536e-05
171,4103.08,0.17326,0.05987,0.00295,0.00053,0.91096,0.838,0.82296,0.70154,0.70946,0.57368,0.00449,0.00442,6.39518e-05,6.39518e-05,6.39518e-05
172,4194.28,0.17454,0.06022,0.00293,0.00052,0.91803,0.83296,0.82362,0.70195,0.7094,0.57388,0.00449,0.00442,6.04763e-05,6.04763e-05,6.04763e-05
173,4285.04,0.17493,0.06051,0.00293,0.00053,0.91598,0.83462,0.82429,0.7023,0.7099,0.57461,0.00449,0.00442,5.71106e-05,5.71106e-05,5.71106e-05
174,4376.22,0.17437,0.0602,0.00294,0.00053,0.91618,0.83469,0.82479,0.7022,0.7091,0.57417,0.00449,0.00442,5.38554e-05,5.38554e-05,5.38554e-05
175,4467.17,0.17382,0.05996,0.00295,0.00053,0.9097,0.84105,0.82551,0.70266,0.70942,0.57528,0.00449,0.00442,5.07115e-05,5.07115e-05,5.07115e-05
176,4558.31,0.17321,0.05962,0.00293,0.00052,0.91453,0.83581,0.82408,0.7016,0.70924,0.57557,0.00449,0.00443,4.76796e-05,4.76796e-05,4.76796e-05
177,4650.15,0.17351,0.05981,0.00292,0.00053,0.91425,0.83634,0.82387,0.70185,0.709,0.5776,0.00449,0.00443,4.47606e-05,4.47606e-05,4.47606e-05
