epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
90,6992.47,0.88363,0.54586,0.00365,0.00794,0.94347,0.87357,0.88523,0.77801,0.75264,0.52549,0.00472,0.00461,0.000590105,0.000590105,0.000590105
91,7070.25,0.87973,0.52677,0.00359,0.00788,0.9493,0.87384,0.88247,0.77645,0.74502,0.52253,0.0047,0.00441,0.000582435,0.000582435,0.000582435
92,7147.89,0.86916,0.51582,0.00359,0.00767,0.94848,0.86655,0.88141,0.77607,0.75073,0.50808,0.00471,0.00422,0.000574746,0.000574746,0.000574746
93,7225.46,0.86602,0.50845,0.00351,0.00793,0.94762,0.87395,0.88387,0.77779,0.7513,0.50732,0.0047,0.00431,0.00056704,0.00056704,0.00056704
94,7302.86,0.87249,0.53283,0.00363,0.00763,0.95896,0.86353,0.87975,0.77537,0.7443,0.5064,0.00468,0.00449,0.000559318,0.000559318,0.000559318
95,7380.58,0.85993,0.50642,0.00353,0.00747,0.94864,0.87694,0.88516,0.78066,0.74239,0.49374,0.00469,0.0043,0.000551584,0.000551584,0.000551584
96,7458.69,0.85435,0.5028,0.00356,0.00753,0.94709,0.87667,0.88406,0.77829,0.74999,0.49892,0.00471,0.00426,0.000543837,0.000543837,0.000543837
97,7536.21,0.8551,0.50495,0.00358,0.00758,0.94656,0.87683,0.88355,0.77786,0.74579,0.49168,0.0047,0.00421,0.000536081,0.000536081,0.000536081
98,7614.17,0.87021,0.52962,0.00367,0.00801,0.95081,0.86694,0.87919,0.77366,0.74792,0.51093,0.00471,0.0043,0.000528318,0.000528318,0.000528318
99,7691.24,0.87368,0.52668,0.00364,0.00791,0.95046,0.87342,0.88643,0.7813,0.73855,0.48911,0.00468,0.00424,0.000520548,0.000520548,0.000520548
100,7768.91,0.86944,0.53223,0.00363,0.00766,0.94962,0.87323,0.88485,0.77781,0.75319,0.51077,0.00473,0.00434,0.000512775,0.000512775,0.000512775
101,7846.8,0.8578,0.50932,0.00358,0.00768,0.95078,0.87159,0.88294,0.77791,0.742,0.50001,0.00472,0.00416,0.000505,0.000505,0.000505
102,7923.69,0.86496,0.51799,0.00366,0.00778,0.9508,0.88319,0.88521,0.77912,0.7441,0.48863,0.0047,0.0043,0.000497225,0.000497225,0.000497225
103,8001.43,0.84843,0.49113,0.00355,0.00744,0.95538,0.86857,0.87932,0.77602,0.74231,0.50131,0.00471,0.00454,0.000489452,0.000489452,0.000489452
104,8078.3,0.85968,0.51012,0.00358,0.00754,0.95503,0.87552,0.88357,0.77798,0.74146,0.49804,0.0047,0.00422,0.000481682,0.000481682,0.000481682
